set_num,name,year,theme_id,num_parts,img_url
70658-1,Oni Titan,2018,435,530,https://cdn.rebrickable.com/media/sets/70658-1.jpg
70640-1,S.O.G. Headquarters,2018,435,531,https://cdn.rebrickable.com/media/sets/70640-1.jpg
71809-1,Egalt the Master Dragon,2024,435,533,https://cdn.rebrickable.com/media/sets/71809-1.jpg
71776-1,Jay and Nya's Race Car EVO,2022,435,536,https://cdn.rebrickable.com/media/sets/71776-1.jpg
71787-1,Creative Ninja Brick Box,2023,435,544,https://cdn.rebrickable.com/media/sets/71787-1.jpg
70735-1,Ronin R.E.X.,2015,435,547,https://cdn.rebrickable.com/media/sets/70735-1.jpg
70641-1,Ninja Nightcrawler,2018,435,552,https://cdn.rebrickable.com/media/sets/70641-1.jpg
70642-1,Killow vs. Samurai X,2018,435,556,https://cdn.rebrickable.com/media/sets/70642-1.jpg
71844-1,Ninja Combat Vehicle,2025,435,561,https://cdn.rebrickable.com/media/sets/71844-1.jpg
71753-1,Fire Dragon Attack,2021,435,564,https://cdn.rebrickable.com/media/sets/71753-1.jpg
70505-1,Temple of Light,2013,435,565,https://cdn.rebrickable.com/media/sets/70505-1.jpg
70593-1,The Green NRG Dragon,2016,435,567,https://cdn.rebrickable.com/media/sets/70593-1.jpg
70734-1,Master Wu Dragon,2015,435,576,https://cdn.rebrickable.com/media/sets/70734-1.jpg
71699-1,Thunder Raider,2020,435,576,https://cdn.rebrickable.com/media/sets/71699-1.jpg
71820-1,Ninja Team Combo Vehicle,2024,435,576,https://cdn.rebrickable.com/media/sets/71820-1.jpg
71843-1,Rogue's Mech Dragon Rider,2025,435,584,https://cdn.rebrickable.com/media/sets/71843-1.jpg
70669-1,Cole's Earth Driller,2019,435,587,https://cdn.rebrickable.com/media/sets/70669-1.jpg
71737-1,X-1 Ninja Charger,2021,435,599,https://cdn.rebrickable.com/media/sets/71737-1.jpg
71719-1,Zane's Mino Creature,2020,435,616,https://cdn.rebrickable.com/media/sets/71719-1.jpg
9449-1,Ultra Sonic Raider,2012,435,622,https://cdn.rebrickable.com/media/sets/9449-1.jpg
71812-1,Kai's Ninja Climber Mech,2024,435,623,https://cdn.rebrickable.com/media/sets/71812-1.jpg
71773-1,Kai's Golden Dragon Raider,2022,435,635,https://cdn.rebrickable.com/media/sets/71773-1.jpg
71747-1,The Keeper's Village,2021,435,643,https://cdn.rebrickable.com/media/sets/71747-1.jpg
2521-1,Lightning Dragon Battle,2011,435,645,https://cdn.rebrickable.com/media/sets/2521-1.jpg
